"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000077157.22",22619.6632102016,-4.21892341477282,0.466685551845713,-9.04018433415656,1.56407841571133e-19,2.47138739025654e-17
"ENSG00000166831.9",2400.47425348118,-4.34856039045723,0.480982322332522,-9.04099836636179,1.55247352859526e-19,2.47138739025654e-17
"ENSG00000187479.8",4620.94080898626,-3.48838465203,0.38625989314738,-9.03118525613784,1.69822321199136e-19,2.65895439819338e-17
"ENSG00000159176.14",67366.6355105863,-3.93213291713976,0.436279652211035,-9.01287258576462,2.00728425323672e-19,3.1145456480627e-17
"ENSG00000129682.16",210.954177267143,-2.71885112652017,0.303039880153373,-8.97192516425269,2.91376358222589e-19,4.48069198006041e-17
"ENSG00000122035.7",793.189998866556,-3.31343596725178,0.369802775820016,-8.96000837177179,3.24653759224518e-19,4.94824043816271e-17
"ENSG00000186642.16",1149.97115974994,-2.96330034252385,0.331927376108798,-8.92755631446484,4.35522442406218e-19,6.5297994720937e-17
"ENSG00000197380.11",1577.68547302752,-3.63026746333296,0.406641739089515,-8.92743443273005,4.36002403350622e-19,6.5297994720937e-17
"ENSG00000182575.8",675.925303378324,-3.52665229364876,0.395261351503877,-8.92233020058923,4.56578572032147e-19,6.77901098802558e-17
"ENSG00000114268.12",628.530047579742,2.48472839202519,0.278576059697268,8.9193895366507,4.68865471644066e-19,6.90194018643227e-17
"ENSG00000138944.8",1656.09046930957,-4.57239499924156,0.512816073064752,-8.91624744114487,4.82355074904868e-19,7.04034021617504e-17
"ENSG00000107796.13",35552.2224948597,-3.94882754508879,0.443204751523088,-8.90971392233164,5.11644109045981e-19,7.40508108411675e-17
"ENSG00000162614.19",2963.6598343171,-3.86800651109146,0.434880134860586,-8.89441986659488,5.87252672122654e-19,8.4285439766404e-17
"ENSG00000164736.6",471.828102521075,-3.38396460875772,0.381058021775975,-8.88044448713158,6.65937213246417e-19,9.47887324276285e-17
"ENSG00000196924.19",251621.601832351,-4.02740543569625,0.453742943177734,-8.87596269264444,6.93310825214388e-19,9.78761667431754e-17
"ENSG00000206052.11",664.058101695908,-4.26010846802767,0.480119679183713,-8.87301365207649,7.11926020967556e-19,9.96870069847497e-17
"ENSG00000059915.17",3541.84759647824,-4.48250808948826,0.506218800120964,-8.85488268791507,8.37718704692806e-19,1.16355074604227e-16
