"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree","PosRank","NegRank","PolarScore"
"ENSG00000162520.15","ENSG00000162520",2,61,63,316,161,-59
"ENSG00000029993.15","ENSG00000029993",70,12,82,8,279,58
"ENSG00000132837.15","ENSG00000132837",1,59,60,370,164,-58
"ENSG00000061455.11","ENSG00000061455",1,58,59,370,166,-57
"ENSG00000204131.9","ENSG00000204131",0,57,57,487,169,-57
"ENSG00000198853.12","ENSG00000198853",43,99,142,19,100,-56
"ENSG00000144642.22","ENSG00000144642",4,59,63,262,164,-55
"ENSG00000165966.16","ENSG00000165966",11,65,76,147,159,-54
"ENSG00000150764.14","ENSG00000150764",6,60,66,219,162,-54
"ENSG00000128849.11","ENSG00000128849",3,57,60,282,169,-54
"ENSG00000138944.8","ENSG00000138944",24,77,101,56,138,-53
"ENSG00000224307.2","ENSG00000224307",56,3,59,13,391,53
"ENSG00000168306.13","ENSG00000168306",0,53,53,487,173,-53
"ENSG00000048540.15","ENSG00000048540",14,66,80,114,156,-52
"ENSG00000106144.20","ENSG00000106144",60,8,68,12,310,52
"ENSG00000162878.13","ENSG00000162878",6,58,64,219,166,-52
"ENSG00000167779.9","ENSG00000167779",0,52,52,487,175,-52
"ENSG00000115041.13","ENSG00000115041",12,62,74,137,160,-50
"ENSG00000162733.19","ENSG00000162733",4,54,58,262,172,-50
"ENSG00000059915.17","ENSG00000059915",21,70,91,68,147,-49
"ENSG00000168734.14","ENSG00000168734",17,66,83,85,156,-49
"ENSG00000179051.14","ENSG00000179051",62,13,75,10,267,49
"ENSG00000112562.19","ENSG00000112562",0,49,49,487,178,-49
"ENSG00000162849.16","ENSG00000162849",56,9,65,13,302,47
"ENSG00000279495.1","ENSG00000279495",1,48,49,370,181,-47
"ENSG00000073712.15","ENSG00000073712",42,88,130,21,121,-46
"ENSG00000166086.13","ENSG00000166086",13,58,71,125,166,-45
"ENSG00000173208.4","ENSG00000173208",0,45,45,487,186,-45
"ENSG00000196557.13","ENSG00000196557",31,74,105,39,141,-43
"ENSG00000104490.18","ENSG00000104490",17,60,77,85,162,-43
"ENSG00000136842.14","ENSG00000136842",10,53,63,160,173,-43
"ENSG00000159433.12","ENSG00000159433",5,48,53,239,181,-43
"ENSG00000137727.12","ENSG00000137727",2,45,47,316,186,-43
"ENSG00000048740.18","ENSG00000048740",0,43,43,487,191,-43
"ENSG00000159899.15","ENSG00000159899",2,44,46,316,189,-42
"ENSG00000138735.16","ENSG00000138735",0,42,42,487,193,-42
"ENSG00000040608.14","ENSG00000040608",45,4,49,18,371,41
"ENSG00000180525.13","ENSG00000180525",1,42,43,370,193,-41
"ENSG00000268388.6","ENSG00000268388",1,42,43,370,193,-41
"ENSG00000251141.6","ENSG00000251141",4,44,48,262,189,-40
"ENSG00000152583.12","ENSG00000152583",3,43,46,282,191,-40
"ENSG00000168497.5","ENSG00000168497",1,41,42,370,196,-40
"ENSG00000197043.14","ENSG00000197043",10,49,59,160,178,-39
"ENSG00000148357.16","ENSG00000148357",1,40,41,370,200,-39
"ENSG00000144668.12","ENSG00000144668",8,46,54,179,183,-38
"ENSG00000123243.15","ENSG00000123243",3,41,44,282,196,-38
"ENSG00000237125.11","ENSG00000237125",14,51,65,114,177,-37
"ENSG00000239382.10","ENSG00000239382",38,2,40,24,434,36
"ENSG00000273373.1","ENSG00000273373",37,1,38,27,473,36
"ENSG00000146757.14","ENSG00000146757",38,3,41,24,391,35
"ENSG00000121577.14","ENSG00000121577",12,46,58,137,183,-34
"ENSG00000172935.9","ENSG00000172935",7,41,48,206,196,-34
"ENSG00000071967.12","ENSG00000071967",0,34,34,487,203,-34
"ENSG00000197380.11","ENSG00000197380",22,55,77,65,171,-33
"ENSG00000254986.7","ENSG00000254986",43,10,53,19,292,33
"ENSG00000239697.11","ENSG00000239697",1,34,35,370,203,-33
"ENSG00000184347.15","ENSG00000184347",0,33,33,487,206,-33
"ENSG00000144218.19","ENSG00000144218",14,46,60,114,183,-32
"ENSG00000004776.13","ENSG00000004776",13,45,58,125,186,-32
"ENSG00000122420.10","ENSG00000122420",5,37,42,239,201,-32
"ENSG00000114853.14","ENSG00000114853",2,34,36,316,203,-32
"ENSG00000111275.13","ENSG00000111275",1,33,34,370,206,-32
"ENSG00000157368.11","ENSG00000157368",34,3,37,32,391,31
"ENSG00000153823.19","ENSG00000153823",1,32,33,370,209,-31
"ENSG00000161835.11","ENSG00000161835",32,1,33,38,473,31
"ENSG00000164188.9","ENSG00000164188",3,33,36,282,206,-30
"ENSG00000011465.18","ENSG00000011465",0,30,30,487,213,-30
"ENSG00000196550.10","ENSG00000196550",30,1,31,40,473,29
"ENSG00000172987.13","ENSG00000172987",0,29,29,487,217,-29
"ENSG00000172171.11","ENSG00000172171",50,22,72,16,234,28
"ENSG00000007237.19","ENSG00000007237",1,29,30,370,217,-28
"ENSG00000111602.12","ENSG00000111602",38,11,49,24,284,27
"ENSG00000172348.15","ENSG00000172348",5,32,37,239,209,-27
"ENSG00000146122.17","ENSG00000146122",3,30,33,282,213,-27
"ENSG00000173175.15","ENSG00000173175",15,41,56,101,196,-26
"ENSG00000163637.13","ENSG00000163637",4,30,34,262,213,-26
"ENSG00000125871.14","ENSG00000125871",41,16,57,22,254,25
"ENSG00000076555.15","ENSG00000076555",6,31,37,219,211,-25
"ENSG00000243244.7","ENSG00000243244",4,29,33,262,217,-25
"ENSG00000135063.19","ENSG00000135063",1,26,27,370,220,-25
"ENSG00000022267.19","ENSG00000022267",28,52,80,41,175,-24
"ENSG00000113448.19","ENSG00000113448",0,24,24,487,224,-24
"ENSG00000114268.12","ENSG00000114268",33,10,43,33,292,23
"ENSG00000131171.13","ENSG00000131171",2,25,27,316,223,-23
"ENSG00000091129.21","ENSG00000091129",23,0,23,59,556,23
"ENSG00000169554.22","ENSG00000169554",0,23,23,487,228,-23
"ENSG00000286039.1","ENSG00000286039",2,24,26,316,224,-22
"ENSG00000164197.12","ENSG00000164197",1,23,24,370,228,-22
"ENSG00000220205.9","ENSG00000220205",23,1,24,59,473,22
"ENSG00000183690.13","ENSG00000183690",1,23,24,370,228,-22
"ENSG00000154175.18","ENSG00000154175",0,22,22,487,234,-22
"ENSG00000170779.11","ENSG00000170779",28,7,35,41,322,21
"ENSG00000163687.14","ENSG00000163687",27,6,33,45,337,21
"ENSG00000086232.13","ENSG00000086232",27,6,33,45,337,21
