"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree"
"ENSG00000174059.17","ENSG00000174059",1,6,7
"ENSG00000102010.15","ENSG00000102010",1,1,2
"ENSG00000109063.15","ENSG00000109063",13,4,17
"ENSG00000155760.2","ENSG00000155760",6,23,29
"ENSG00000109906.14","ENSG00000109906",3,0,3
"ENSG00000108379.10","ENSG00000108379",0,4,4
"ENSG00000129116.19","ENSG00000129116",17,114,131
"ENSG00000124212.6","ENSG00000124212",5,95,100
"ENSG00000121440.15","ENSG00000121440",5,100,105
"ENSG00000159055.4","ENSG00000159055",11,10,21
"ENSG00000141448.11","ENSG00000141448",1,8,9
"ENSG00000048740.18","ENSG00000048740",0,43,43
"ENSG00000155011.9","ENSG00000155011",2,2,4
"ENSG00000161835.11","ENSG00000161835",32,1,33
"ENSG00000167281.19","ENSG00000167281",11,124,135
"ENSG00000183010.17","ENSG00000183010",1,14,15
"ENSG00000154065.17","ENSG00000154065",7,21,28
"ENSG00000149090.12","ENSG00000149090",0,3,3
"ENSG00000168734.14","ENSG00000168734",17,66,83
"ENSG00000135063.19","ENSG00000135063",1,26,27
"ENSG00000148357.16","ENSG00000148357",1,40,41
"ENSG00000178878.13","ENSG00000178878",1,0,1
"ENSG00000080854.16","ENSG00000080854",23,120,143
"ENSG00000106809.11","ENSG00000106809",0,15,15
"ENSG00000140682.19","ENSG00000140682",18,140,158
"ENSG00000089486.17","ENSG00000089486",0,0,0
"ENSG00000134769.21","ENSG00000134769",26,109,135
"ENSG00000115363.14","ENSG00000115363",1,1,2
"ENSG00000163637.13","ENSG00000163637",4,30,34
"ENSG00000255248.9","ENSG00000255248",6,24,30
"ENSG00000111275.13","ENSG00000111275",1,33,34
"ENSG00000147799.11","ENSG00000147799",80,8,88
"ENSG00000108342.13","ENSG00000108342",0,3,3
"ENSG00000225697.13","ENSG00000225697",1,1,2
"ENSG00000116698.21","ENSG00000116698",1,0,1
"ENSG00000174944.9","ENSG00000174944",0,1,1
"ENSG00000269113.4","ENSG00000269113",0,0,0
"ENSG00000108691.9","ENSG00000108691",0,0,0
"ENSG00000119508.18","ENSG00000119508",0,0,0
"ENSG00000082175.15","ENSG00000082175",0,0,0
"ENSG00000108551.5","ENSG00000108551",1,0,1
"ENSG00000224307.2","ENSG00000224307",56,3,59
"ENSG00000123570.4","ENSG00000123570",8,117,125
"ENSG00000169258.7","ENSG00000169258",3,1,4
"ENSG00000186594.14","ENSG00000186594",4,3,7
"ENSG00000211445.12","ENSG00000211445",0,1,1
"ENSG00000025423.11","ENSG00000025423",1,4,5
"ENSG00000166165.13","ENSG00000166165",23,139,162
"ENSG00000100739.11","ENSG00000100739",0,0,0
"ENSG00000000460.17","ENSG00000000460",3,2,5
"ENSG00000105499.14","ENSG00000105499",0,11,11
"ENSG00000204136.11","ENSG00000204136",1,2,3
"ENSG00000143630.10","ENSG00000143630",2,0,2
"ENSG00000136295.15","ENSG00000136295",8,6,14
"ENSG00000196584.3","ENSG00000196584",1,3,4
"ENSG00000100448.4","ENSG00000100448",1,0,1
"ENSG00000143772.9","ENSG00000143772",27,122,149
"ENSG00000145777.15","ENSG00000145777",3,0,3
"ENSG00000182534.13","ENSG00000182534",33,125,158
"ENSG00000163297.17","ENSG00000163297",11,73,84
"ENSG00000220205.9","ENSG00000220205",23,1,24
"ENSG00000237125.11","ENSG00000237125",14,51,65
"ENSG00000154920.15","ENSG00000154920",1,4,5
"ENSG00000183690.13","ENSG00000183690",1,23,24
"ENSG00000145362.20","ENSG00000145362",2,19,21
"ENSG00000109610.6","ENSG00000109610",0,10,10
"ENSG00000121898.13","ENSG00000121898",15,95,110
"ENSG00000122707.12","ENSG00000122707",2,12,14
"ENSG00000183087.15","ENSG00000183087",1,2,3
"ENSG00000122565.19","ENSG00000122565",4,5,9
